iter	Passed	Remaining
398	2066	3112
399	2067	3101
400	2069	3090
401	2070	3080
402	2073	3071
403	2075	3061
404	2076	3050
405	2077	3040
406	2079	3029
407	2080	3018
408	2081	3007
409	2082	2997
410	2083	2986
411	2085	2975
412	2086	2966
413	2088	2956
414	2090	2946
415	2092	2937
416	2094	2928
417	2095	2918
418	2097	2907
419	2098	2897
420	2099	2887
421	2100	2877
422	2103	2869
423	2104	2859
424	2106	2849
425	2109	2842
426	2110	2832
427	2111	2822
428	2113	2812
429	2114	2802
430	2116	2793
431	2118	2784
432	2119	2775
433	2121	2766
434	2122	2756
435	2123	2747
436	2125	2737
437	2126	2728
438	2127	2718
439	2128	2709
440	2130	2700
441	2131	2691
442	2134	2683
443	2136	2674
444	2137	2665
445	2138	2656
446	2140	2647
447	2141	2638
448	2142	2629
449	2143	2619
450	2144	2610
451	2145	2601
452	2146	2592
453	2149	2584
454	2150	2576
455	2151	2567
456	2152	2558
457	2154	2549
458	2155	2540
459	2157	2532
460	2158	2523
461	2159	2514
462	2161	2506
463	2162	2498
464	2165	2491
465	2166	2482
466	2168	2474
467	2169	2466
468	2170	2457
469	2172	2449
470	2173	2440
471	2174	2432
472	2176	2424
473	2178	2417
474	2180	2409
475	2181	2401
476	2185	2396
477	2187	2388
478	2188	2380
479	2189	2372
480	2191	2364
481	2192	2356
482	2195	2350
483	2197	2342
484	2198	2334
485	2200	2326
486	2201	2318
487	2202	2310
488	2203	2303
489	2205	2295
490	2206	2287
491	2209	2281
492	2211	2274
493	2212	2266
494	2214	2259
495	2215	2251
496	2216	2243
497	2218	2236
498	2220	2229
499	2221	2221
500	2222	2213
501	2225	2207
502	2226	2200
503	2228	2192
504	2229	2185
505	2230	2177
506	2232	2170
507	2233	2163
508	2234	2155
509	2236	2148
510	2237	2140
511	2239	2134
512	2241	2128
513	2242	2120
514	2244	2113
515	2245	2106
516	2246	2099
517	2248	2092
518	2249	2084
519	2254	2081
520	2256	2074
521	2257	2067
522	2259	2060
523	2260	2053
524	2262	2046
525	2263	2039
526	2264	2032
527	2266	2025
528	2267	2018
529	2269	2012
530	2270	2005
531	2272	1998
532	2273	1991
533	2274	1985
534	2276	1978
535	2277	1971
536	2278	1964
537	2280	1958
538	2281	1951
539	2282	1944
540	2285	1938
541	2286	1932
542	2288	1925
543	2289	1919
544	2290	1912
545	2292	1906
546	2294	1900
547	2297	1895
548	2302	1891
549	2304	1885
550	2305	1878
551	2307	1872
552	2308	1865
553	2309	1859
554	2311	1853
555	2312	1846
556	2314	1840
557	2319	1837
558	2320	1830
559	2321	1824
560	2323	1817
561	2324	1811
562	2325	1804
563	2326	1798
564	2327	1792
565	2328	1785
566	2332	1780
567	2334	1775
568	2335	1768
569	2336	1762
570	2337	1756
571	2338	1750
572	2339	1743
573	2341	1737
574	2342	1731
575	2343	1725
576	2348	1721
577	2350	1716
578	2351	1709
579	2352	1703
580	2354	1697
581	2355	1691
582	2356	1685
583	2358	1679
584	2359	1673
585	2361	1668
586	2363	1662
587	2365	1657
588	2367	1651
589	2368	1646
590	2370	1640
591	2371	1634
592	2372	1628
593	2374	1622
594	2378	1618
595	2380	1613
596	2381	1607
597	2382	1601
598	2383	1595
599	2385	1590
600	2386	1584
601	2387	1578
602	2389	1572
603	2392	1568
604	2395	1564
605	2397	1558
606	2398	1552
607	2399	1547
608	2401	1541
609	2402	1536
610	2403	1530
611	2405	1524
612	2408	1520
613	2409	1514
614	2410	1509
615	2411	1503
616	2413	1497
617	2414	1492
618	2415	1486
619	2416	1481
620	2417	1475
621	2418	1469
622	2419	1464
623	2422	1459
624	2424	1454
625	2426	1449
626	2427	1444
627	2428	1438
628	2429	1433
629	2431	1427
630	2432	1422
631	2433	1416
632	2434	1411
633	2435	1406
634	2438	1401
635	2439	1396
636	2440	1390
637	2441	1385
638	2442	1380
639	2444	1374
640	2445	1369
641	2446	1364
642	2447	1358
643	2448	1353
644	2449	1348
645	2450	1343
646	2453	1338
647	2454	1333
648	2456	1328
